id,author,author_channel_id,comment,likes,published_at,parent_id,video_title
Ugz16oga6xSI6-hwW_Z4AaABAg,@kkshotti,UCNugOKxkWYUMx4cQQrJfZng,absolutely not the strongest on the planet or country,0,2026-04-23T23:23:45Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzfE-qfkQCszgMkc294AaABAg,@HusnainShabir-s2c,UCL2Qg3rfPEfF0r27ForpTOw,The real momm!!,0,2026-04-23T15:49:10Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugx-Y4WyNeUoRL3J5NF4AaABAg,@KARIMKAMARALDIN,UCBCYNs94D9uLFiYlSXyDU7g,I'm the 2nd smartest in my class,2,2026-04-20T10:26:23Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwH4zK-U81DIoA3tRx4AaABAg,@sathyaprakash2939,UCDNPu8Go-wNgNZCKB6AYU9g,Isn’t the first challenge insanely unfair cuz mass and volume increases faster than strenght. It isn't a linear graph. Also why ants can lift 50 times their body mass.,4,2026-04-20T04:42:17Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugx0wNPcY719k1CESBx4AaABAg,@I_No_Scoped_JFK,UChyBIIM2BfI1jau9H52Dihw,This isn’t even close to the smartest or strongest people,0,2026-04-18T23:27:11Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzWPs0beNNYFck-N6V4AaABAg,@niteshsingh8126,UCIOR9JYaXpx5opGNBMjbepg,Indian better,0,2026-04-18T13:58:23Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzoA6VhIXsShwEhDAh4AaABAg,@NguafacNjuzy,UCMZrgjpBbGkqTAWTFcr__zg,Me I need money please help me,0,2026-04-17T13:49:02Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgyQW5wYlDppN3dlDlR4AaABAg,@MckeownGyamfi-n9l,UCvmlY5IwuQ62spGRqHYexPA,Number 110 is the strongest mom I have ever seen 😊😊😊,0,2026-04-17T11:08:31Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgyQjRGn841D0lIqNvZ4AaABAg,@Hibroithinkyousmell,UCl7lsvBI1tYQUgvIVyJk_rg,I KNOW Michelle I sub to her and also u,0,2026-04-17T01:52:34Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwQZWSxpt1hsMbmZCZ4AaABAg,@NoahSmith-qy7wi,UC_xqKJwfidLi52achZol35A,"I’ve memorized the names of almost every element on the periodic table, and the first 400 digits of pi; both of which are thanks to the songs made by ASAPScience!",1,2026-04-17T00:32:26Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxPmAuMFCPS4dvEYsR4AaABAg,@dr.kukueofficial,UCULEbQ-qshY3nrlvfwk6vIg,Watching all the way from Zimbabwe 🇿🇼Southern Africa,0,2026-04-14T10:42:35Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgyFOjs8KlpLTS01nYZ4AaABAg,@J_eongnn,UCrkQXvfSj0RfibAdhequtsA,I knew Michelle would be in this video,0,2026-04-12T18:46:34Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugwo9QnAcJApFbId4y54AaABAg,@EvanLiu-u3r,UCZ-9D4zL1VLwmp5f6rfoxCQ,11:40 is crazy that women did all she could do just to go to the next challenge 🫡,1,2026-04-12T16:36:35Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzenzmFljm33Ny1U2p4AaABAg,@maxlouisglaser,UCILzfTSk-WyVle_Ka2InNoA,very good!,0,2026-04-12T09:04:19Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwxxvS9f4qB0fBBa_Z4AaABAg,@mikok90,UCwV7wA-vt7iJATRRwxDN-fw,these are the most powerfull people in the world? are you kidding?,0,2026-04-11T15:45:31Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxEPBDfJ9SYDG5z6YN4AaABAg,@PhilominaAnderson-p7y,UCcMl1BFNPDf77A02JrsMfMQ,Mr beast l want to be part of your children,0,2026-04-11T12:54:26Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgyoBidPBY54MdkGNL14AaABAg,@MESSFC,UCMdN1dwmK_H2Q5TrepUxGvg,Jimmy is hilarious 😂,0,2026-04-10T17:34:14Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugx9LKf333tXy2kUJbN4AaABAg,@qweqwe8974,UCs1z7Z9UCHtJulTOZSIX5xg,smart as Einstein lol. people really tend to overestimate themselves. i bet she take an IQ test and get 165 but the thing is that is inaccurate.,0,2026-04-09T18:37:32Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
